1000;"ENTRADAS OU AQUISIÇÕES DE SERVIÇOS DO ESTADO"
5125;"Industrialização efetuada para outra empresa quando a mercadoria recebida para utilização no processo de industrialização não transitar pelo estabelecimento adquirente da mercadoria"
5150;"TRANSFERÊNCIAS DE PRODUÇÃO PRÓPRIA OU DE TERCEIROS"
5151;"Transferência de produção do estabelecimento"
5152;"Transferência de mercadoria adquirida ou recebida de terceiros"
5153;"Transferência de energia elétrica"
5155;"Transferência de produção do estabelecimento, que não deva por ele transitar"
5156;"Transferência de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar"
5200;"DEVOLUÇÕES DE COMPRAS PARA INDUSTRIALIZAÇÃO, COMERCIALIZAÇÃO OU ANULAÇÕES DE VALORES"
5201;"Devolução de compra para industrialização ou produção rural"
5202;"Devolução de compra para comercialização"
5205;"Anulação de valor relativo a aquisição de serviço de comunicação"
5206;"Anulação de valor relativo a aquisição de serviço de transporte"
5207;"Anulação de valor relativo à compra de energia elétrica"
5208;"Devolução de mercadoria recebida em transferência para industrialização ou produção rural"
5209;"Devolução de mercadoria recebida em transferência para comercialização"
5210;"Devolução de compra para utilização na prestação de serviço sujeitas ao ICMS ou ISSQN"
5250;"VENDAS DE ENERGIA ELÉTRICA"
5251;"Venda de energia elétrica para distribuição ou comercialização"
5252;"Venda de energia elétrica para estabelecimento industrial"
5253;"Venda de energia elétrica para estabelecimento comercial"
5254;"Venda de energia elétrica para estabelecimento prestador de serviço de transporte"
5255;"Venda de energia elétrica para estabelecimento prestador de serviço de comunicação"
5256;"Venda de energia elétrica para estabelecimento de produtor rural"
5257;"Venda de energia elétrica para consumo por demanda contratada"
5258;"Venda de energia elétrica a não contribuinte "
5300;"PRESTAÇÕES DE SERVIÇOS DE COMUNICAÇÃO"
5301;"Prestação de serviço de comunicação para execução de serviço da mesma natureza"
5302;"Prestação de serviço de comunicação a estabelecimento industrial"
5303;"Prestação de serviço de comunicação a estabelecimento comercial"
5304;"Prestação de serviço de comunicação a estabelecimento de prestador de serviço de transporte"
5305;"Prestação de serviço de comunicação a estabelecimento de geradora ou de distribuidora de energia elétrica"
5306;"Prestação de serviço de comunicação a estabelecimento de produtor rural"
5307;"Prestação de serviço de comunicação a não contribuinte "
5350;"PRESTAÇÕES DE SERVIÇOS DE TRANSPORTE"
5351;"Prestação de serviço de transporte para execução de serviço da mesma natureza"
5352;"Prestação de serviço de transporte a estabelecimento industrial"
5353;"Prestação de serviço de transporte a estabelecimento comercial"
5354;"Prestação de serviço de transporte a estabelecimento de prestador de serviço de comunicação"
5355;"Prestação de serviço de transporte a estabelecimento de geradora ou de distribuidora de energia elétrica"
5356;"Prestação de serviço de transporte a estabelecimento de produtor rural"
5357;"Prestação de serviço de transporte a não contribuinte"
5359;"Prestação de serviço de transporte a contribuinte ou a não contribuinte quando a mercadoria transportada está dispensada de emissão de nota fiscal"
5360;"Prestação de serviço de transporte a contribuinte substituto em relação ao serviço de transporte"
5400;"SAÍDAS DE MERCADORIAS SUJEITAS AO REGIME DE SUBSTITUIÇÃO TRIBUTÁRIA"
5401;"Venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária, na condição de contribuinte substituto"
5402;"Venda de produção do estabelecimento de produto sujeito ao regime de substituição tributária, em operação entre contribuintes substitutos do mesmo produto"
5403;"Venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária, na condição de contribuinte substituto"
5405;"Venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária, na condição de contribuinte substituído"
5408;"Transferência de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária"
5409;"Transferência de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária"
5410;"Devolução de compra para industrialização ou produção rural em operação com mercadoria sujeita ao regime de substituição tributária"
5411;"Devolução de compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária"
5412;"Devolução de bem do ativo imobilizado, em operação com mercadoria sujeita ao regime de substituição tributária"
5413;"Devolução de mercadoria destinada ao uso ou consumo, em operação com mercadoria sujeita ao regime de substituição tributária"
5414;"Remessa de produção do estabelecimento para venda fora do estabelecimento em operação com produto sujeito ao regime de substituição tributária"
5415;"Remessa de mercadoria adquirida ou recebida de terceiros para venda fora do estabelecimento, em operação com mercadoria sujeita ao regime de substituição tributária"
5450;"SISTEMAS DE INTEGRAÇÃO"
5451;"Remessa de animal e de insumo para estabelecimento produtor"
5500;"REMESSAS COM FIM ESPECÍFICO DE EXPORTAÇÃO E EVENTUAIS DEVOLUÇÕES"
5501;"Remessa de produção do estabelecimento, com fim específico de exportação 5.502 - Remessa de mercadoria adquirida ou recebida de terceiros, com fim específico de exportação"
5503;"Devolução de mercadoria recebida com fim específico de exportação"
5504;"Remessa de mercadorias para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento"
5505;"Remessa de mercadorias, adquiridas ou recebidas de terceiros, para formação de lote de exportação "
5550;"OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO E MATERIAIS PARA USO OU CONSUMO"
5551;"Venda de bem do ativo imobilizado"
5552;"Transferência de bem do ativo imobilizado"
5553;"Devolução de compra de bem para o ativo imobilizado"
5554;"Remessa de bem do ativo imobilizado para uso fora do estabelecimento"
5555;"Devolução de bem do ativo imobilizado de terceiro, recebido para uso no estabelecimento"
5556;"Devolução de compra de material de uso ou consumo"
5557;"Transferência de material de uso ou consumo"
5600;"CRÉDITOS E RESSARCIMENTOS DE ICMS"
5601;"Transferência de crédito de ICMS acumulado"
5602;"Transferência de saldo credor de ICMS para outro estabelecimento da mesma empresa, destinado à compensação de saldo devedor de ICMS"
5603;"Ressarcimento de ICMS retido por substituição tributária"
5605;"Transferência de saldo devedor de ICMS de outro estabelecimento da mesma empresa"
5606;"Utilização de saldo credor de ICMS para extinção por compensação de débitos fiscais"
5651;"Venda de combustível ou lubrificante de produção do estabelecimento destinado à industrialização subseqüente"
5652;"Venda de combustível ou lubrificante de produção do estabelecimento destinado à comercialização"
5653;"Venda de combustível ou lubrificante de produção do estabelecimento destinado a consumidor ou usuário final"
5654;"Venda de combustível ou lubrificante adquirido ou recebido de terceiros destinado à industrialização subseqüente"
5655;"Venda de combustível ou lubrificante adquirido ou recebido de terceiros destinado à comercialização"
5656;"Venda de combustível ou lubrificante adquirido ou recebido de terceiros destinado a consumidor ou usuário final"
5657;"Remessa de combustível ou lubrificante adquirido ou recebido de terceiros para venda fora do estabelecimento"
5658;"Transferência de combustível ou lubrificante de produção do estabelecimento"
5659;"Transferência de combustível ou lubrificante adquirido ou recebido de terceiro"
5660;"Devolução de compra de combustível ou lubrificante adquirido para industrialização subseqüente"
5661;"Devolução de compra de combustível ou lubrificante adquirido para comercialização"
5662;"Devolução de compra de combustível ou lubrificante adquirido por consumidor ou usuário final"
5663;"Remessa para armazenagem de combustível ou lubrificante"
5664;"Retorno de combustível ou lubrificante recebido para armazenagem"
5665;"Retorno simbólico de combustível ou lubrificante recebido para armazenagem"
5666;"Remessa por conta e ordem de terceiros de combustível ou lubrificante recebido para armazenagem "
5900;"OUTRAS SAÍDAS DE MERCADORIAS OU PRESTAÇÕES DE SERVIÇOS"
5901;"Remessa para industrialização por encomenda"
5902;"Retorno de mercadoria utilizada na industrialização por encomenda"
5903;"Retorno de mercadoria recebida para industrialização e não aplicada no referido processo"
5904;"Remessa para venda fora do estabelecimento"
5905;"Remessa para depósito fechado ou armazém geral"
5906;"Retorno de mercadoria depositada em depósito fechado ou armazém geral"
5907;"Retorno simbólico de mercadoria depositada em depósito fechado ou armazém geral"
5908;"Remessa de bem por conta de contrato de comodato"
5909;"Retorno de bem recebido por conta de contrato de comodato"
5910;"Remessa em bonificação, doação ou brinde"
5911;"Remessa de amostra grátis"
5912;"Remessa de mercadoria ou bem para demonstração"
5913;"Retorno de mercadoria ou bem recebido para demonstração"
5914;"Remessa de mercadoria ou bem para exposição ou feira"
5915;"Remessa de mercadoria ou bem para conserto ou reparo"
5916;"Retorno de mercadoria ou bem recebido para conserto ou reparo"
5917;"Remessa de mercadoria em consignação mercantil ou industrial"
5918;"Devolução de mercadoria recebida em consignação mercantil ou industrial"
5919;"Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, recebida anteriormente em consignação mercantil ou industrial"
5920;"Remessa de vasilhame ou sacaria"
5921;"Devolução de vasilhame ou sacaria"
5922;"Lançamento efetuado a título de simples faturamento decorrente de venda para entrega futura"
5923;"Remessa de mercadoria por conta e ordem de terceiros, em venda à ordem"
5924;"Remessa para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente"
5925;"Retorno de mercadoria recebida para industrialização por conta e ordem do adquirente da mercadoria, quando aquela não transitar pelo estabelecimento do adquirente"
5926;"Lançamento efetuado a título de reclassificação de mercadoria decorrente de formação de kit ou de sua desagregação"
5927;"Lançamento efetuado a título de baixa de estoque decorrente de perda, roubo ou deterioração"
5928;"Lançamento efetuado a título de baixa de estoque decorrente do encerramento da atividade da empresa"
5929;"Lançamento efetuado em decorrência de emissão de documento fiscal relativo a operação ou prestação também registrada em equipamento Emissor de Cupom Fiscal - ECF"
5931;"Lançamento efetuado em decorrência da responsabilidade de retenção do imposto por substituição tributária, atribuída ao remetente ou alienante da mercadoria, pelo serviço de transporte realizado por transportador autônomo ou por transportador não inscrito na unidade da Federação onde iniciado o serviço"
5932;"Prestação de serviço de transporte iniciada em unidade da Federação diversa daquela onde inscrito o prestador"
5933;"Prestação de serviço tributado pelo ISSQN"
5949;"Outra saída de mercadoria ou prestação de serviço não especificado "
6000;"SAÍDAS OU PRESTAÇÕES DE SERVIÇOS PARA OUTROS ESTADOS "
6100;"VENDAS DE PRODUÇÃO PRÓPRIA OU DE TERCEIROS"
6101;"Venda de produção do estabelecimento"
6102;"Venda de mercadoria adquirida ou recebida de terceiros"
6103;"Venda de produção do estabelecimento, efetuada fora do estabelecimento"
6104;"Venda de mercadoria adquirida ou recebida de terceiros, efetuada fora do estabelecimento"
6105;"Venda de produção do estabelecimento que não deva por ele transitar"
6106;"Venda de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar"
6107;"Venda de produção do estabelecimento, destinada a não contribuinte"
6108;"Venda de mercadoria adquirida ou recebida de terceiros, destinada a não contribuinte"
6109;"Venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio"
6110;"Venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio"
6111;"Venda de produção do estabelecimento remetida anteriormente em consignação industrial"
6112;"Venda de mercadoria adquirida ou recebida de Terceiros remetida anteriormente em consignação industrial"
6113;"Venda de produção do estabelecimento remetida anteriormente em consignação mercantil"
6114;"Venda de mercadoria adquirida ou recebida de terceiros remetida anteriormente em consignação mercantil"
6115;"Venda de mercadoria adquirida ou recebida de terceiros, recebida anteriormente em consignação mercantil"
6116;"Venda de produção do estabelecimento originada de encomenda para entrega futura"
6117;"Venda de mercadoria adquirida ou recebida de terceiros, originada de encomenda para entrega futura"
6118;"Venda de produção do estabelecimento entregue ao destinatário por conta e ordem do adquirente originário, em venda à ordem"
6119;"Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário por conta e ordem do adquirente originário, em venda à ordem"
6120;"Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem"
6122;"Venda de produção do estabelecimento remetida para industrialização, por conta e ordem do adquirente, sem transitar pelo estabelecimento do adquirente"
6123;"Venda de mercadoria adquirida ou recebida de terceiros remetida para industrialização, por conta e ordem do adquirente, sem transitar pelo estabelecimento do adquirente"
6124;"Industrialização efetuada para outra empresa"
6125;"Industrialização efetuada para outra empresa quando a mercadoria recebida para utilização no processo de industrialização não transitar pelo estabelecimento adquirente da mercadoria"
6150;"TRANSFERÊNCIAS DE PRODUÇÃO PRÓPRIA OU DE TERCEIROS"
6151;"Transferência de produção do estabelecimento"
6152;"Transferência de mercadoria adquirida ou recebida de terceiros"
6153;"Transferência de energia elétrica 6.155 - Transferência de produção do estabelecimento, que não deva por ele transitar"
6156;"Transferência de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar"
6200;"DEVOLUÇÕES DE COMPRAS PARA INDUSTRIALIZAÇÃO, COMERCIALIZAÇÃO OU ANULAÇÕES DE VALORES"
6201;"Devolução de compra para industrialização ou produção rural"
6202;"Devolução de compra para comercialização"
6205;"Anulação de valor relativo a aquisição de serviço de comunicação"
6206;"Anulação de valor relativo a aquisição de serviço de transporte"
6207;"Anulação de valor relativo à compra de energia elétrica"
6208;"Devolução de mercadoria recebida em transferência para industrialização ou produção rural"
6209;"Devolução de mercadoria recebida em transferência para comercialização"
6210;"Devolução de compra para utilização na prestação de serviço "
6250;"VENDAS DE ENERGIA ELÉTRICA"
6251;"Venda de energia elétrica para distribuição ou comercialização"
6252;"Venda de energia elétrica para estabelecimento industrial"
6253;"Venda de energia elétrica para estabelecimento comercial"
6254;"Venda de energia elétrica para estabelecimento prestador de serviço de transporte"
6255;"Venda de energia elétrica para estabelecimento prestador de serviço de comunicação"
6256;"Venda de energia elétrica para estabelecimento de produtor rural"
6257;"Venda de energia elétrica para consumo por demanda contratada"
6258;"Venda de energia elétrica a não contribuinte"
6300;"PRESTAÇÕES DE SERVIÇOS DE COMUNICAÇÃO"
6301;"Prestação de serviço de comunicação para execução de serviço da mesma natureza"
6302;"Prestação de serviço de comunicação a estabelecimento industrial"
6303;"Prestação de serviço de comunicação a estabelecimento comercial"
6304;"Prestação de serviço de comunicação a estabelecimento de prestador de serviço de transporte"
6305;"Prestação de serviço de comunicação a estabelecimento de geradora ou de distribuidora de energia elétrica"
6306;"Prestação de serviço de comunicação a estabelecimento de produtor rural"
6307;"Prestação de serviço de comunicação a não contribuinte"
6350;"PRESTAÇÕES DE SERVIÇOS DE TRANSPORTE"
6351;"Prestação de serviço de transporte para execução de serviço da mesma natureza"
6352;"Prestação de serviço de transporte a estabelecimento industrial"
6353;"Prestação de serviço de transporte a estabelecimento comercial"
6354;"Prestação de serviço de transporte a estabelecimento de prestador de serviço de comunicação"
6355;"Prestação de serviço de transporte a estabelecimento de geradora ou de distribuidora de energia elétrica"
6356;"Prestação de serviço de transporte a estabelecimento de produtor rural"
6357;"Prestação de serviço de transporte a não contribuinte"
6359;"Prestação de serviço de transporte a contribuinte ou a não contribuinte quando a mercadoria transportada está dispensada de emissão de nota fiscal"
6400;"SAÍDAS DE MERCADORIAS SUJEITAS AO REGIME DE SUBSTITUIÇÃO TRIBUTÁRIA"
6401;"Venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária, na condição de contribuinte substituto"
6402;"Venda de produção do estabelecimento de produto sujeito ao regime de substituição tributária, em operação entre contribuintes substitutos do mesmo produto"
6403;"Venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária, na condição de contribuinte substituto"
6404;"Venda de mercadoria sujeita ao regime de substituição tributária, cujo imposto já tenha sido retido anteriormente"
6408;"Transferência de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária"
6409;"Transferência de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária"
6410;"Devolução de compra para industrialização ou produção rural em operação com mercadoria sujeita ao regime de substituição tributária"
6411;"Devolução de compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária"
6412;"Devolução de bem do ativo imobilizado, em operação com mercadoria sujeita ao regime de substituição tributária"
6413;"Devolução de mercadoria destinada ao uso ou consumo, em operação com mercadoria sujeita ao regime de substituição tributária"
6414;"Remessa de produção do estabelecimento para venda fora do estabelecimento em operação com produto sujeito ao regime de substituição tributária"
6415;"Remessa de mercadoria adquirida ou recebida de terceiros para venda fora do estabelecimento, em operação com mercadoria sujeita ao regime de substituição tributária"
6500;"REMESSAS COM FIM ESPECÍFICO DE EXPORTAÇÃO E EVENTUAIS DEVOLUÇÕES"
6501;"Remessa de produção do estabelecimento, com fim específico de exportação"
6502;"Remessa de mercadoria adquirida ou recebida de terceiros, com fim específico de exportação"
6503;"Devolução de mercadoria recebida com fim específico de exportação"
6504;"Remessa de mercadorias para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento"
6505;"Remessa de mercadorias, adquiridas ou recebidas de terceiros, para formação de lote de exportação"
6550;"OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO E MATERIAIS PARA USO OU CONSUMO"
6551;"Venda de bem do ativo imobilizado"
6552;"Transferência de bem do ativo imobilizado"
6553;"Devolução de compra de bem para o ativo imobilizado"
6554;"Remessa de bem do ativo imobilizado para uso fora do estabelecimento"
6555;"Devolução de bem do ativo imobilizado de terceiro, recebido para uso no estabelecimento"
6556;"Devolução de compra de material de uso ou consumo"
6557;"Transferência de material de uso ou consumo"
6600;"CRÉDITOS E RESSARCIMENTOS DE ICMS"
6603;"Ressarcimento de ICMS retido por substituição tributária"
6651;"Venda de combustível ou lubrificante de produção do estabelecimento destinado à industrialização subseqüente"
6652;"Venda de combustível ou lubrificante de produção do estabelecimento destinado à comercialização"
6653;"Venda de combustível ou lubrificante de produção do estabelecimento destinado a consumidor ou usuário final"
6654;"Venda de combustível ou lubrificante adquirido ou recebido de terceiros destinado à industrialização subseqüente"
6655;"Venda de combustível ou lubrificante adquirido ou recebido de terceiros destinado à comercialização"
6656;"Venda de combustível ou lubrificante adquirido ou recebido de terceiros destinado a consumidor ou usuário final"
6657;"Remessa de combustível ou lubrificante adquirido ou recebido de terceiros para venda fora do estabelecimento"
6658;"Transferência de combustível ou lubrificante de produção do estabelecimento"
6659;"Transferência de combustível ou lubrificante adquirido ou recebido de terceiro"
6660;"Devolução de compra de combustível ou lubrificante adquirido para industrialização subseqüente"
6661;"Devolução de compra de combustível ou lubrificante adquirido para comercialização"
6662;"Devolução de compra de combustível ou lubrificante adquirido por consumidor ou usuário final"
6663;"Remessa para armazenagem de combustível ou lubrificante"
6664;"Retorno de combustível ou lubrificante recebido para armazenagem"
6665;"Retorno simbólico de combustível ou lubrificante recebido para armazenagem"
6666;"Remessa por conta e ordem de terceiros de combustível ou lubrificante recebido para armazenagem"
6900;"OUTRAS SAÍDAS DE MERCADORIAS OU PRESTAÇÕES DE SERVIÇOS"
6901;"Remessa para industrialização por encomenda"
6902;"Retorno de mercadoria utilizada na industrialização por encomenda"
6903;"Retorno de mercadoria recebida para industrialização e não aplicada no referido processo"
6904;"Remessa para venda fora do estabelecimento"
6905;"Remessa para depósito fechado ou armazém geral"
6906;"Retorno de mercadoria depositada em depósito fechado ou armazém geral"
6907;"Retorno simbólico de mercadoria depositada em depósito fechado ou armazém geral"
6908;"Remessa de bem por conta de contrato de comodato"
6909;"Retorno de bem recebido por conta de contrato de comodato"
6910;"Remessa em bonificação, doação ou brinde"
6911;"Remessa de amostra grátis"
6912;"Remessa de mercadoria ou bem para demonstração 6.913 - Retorno de mercadoria ou bem recebido para demonstração"
6914;"Remessa de mercadoria ou bem para exposição ou feira"
6915;"Remessa de mercadoria ou bem para conserto ou reparo"
6916;"Retorno de mercadoria ou bem recebido para conserto ou reparo"
6917;"Remessa de mercadoria em consignação mercantil ou industrial"
6918;"Devolução de mercadoria recebida em consignação mercantil ou industrial"
6919;"Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, recebida anteriormente em consignação mercantil ou industrial"
6920;"Remessa de vasilhame ou sacaria"
6921;"Devolução de vasilhame ou sacaria"
6922;"Lançamento efetuado a título de simples faturamento decorrente de venda para entrega futura"
6923;"Remessa de mercadoria por conta e ordem de terceiros, em venda à ordem"
6924;"Remessa para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente"
6925;"Retorno de mercadoria recebida para industrialização por conta e ordem do adquirente da mercadoria, quando aquela não transitar pelo estabelecimento do adquirente"
6929;"Lançamento efetuado em decorrência de emissão de documento fiscal relativo a operação ou prestação também registrada em equipamento Emissor de Cupom Fiscal - ECF"
6931;"Lançamento efetuado em decorrência da responsabilidade de retenção do imposto por substituição tributária, atribuída ao remetente ou alienante da mercadoria, pelo serviço de transporte realizado por transportador autônomo ou por transportador não inscrito na unidade da Federação onde iniciado o serviço"
6932;"Prestação de serviço de transporte iniciada em unidade da Federação diversa daquela onde inscrito o prestador"
6933;"Prestação de serviço tributado pelo ISSQN"
6949;"Outra saída de mercadoria ou prestação de serviço não especificado"
7000;"SAÍDAS OU PRESTAÇÕES DE SERVIÇOS PARA O EXTERIOR "
7100;"VENDAS DE PRODUÇÃO PRÓPRIA OU DE TERCEIROS"
7101;"Venda de produção do estabelecimento"
7102;"Venda de mercadoria adquirida ou recebida de terceiros"
7105;"Venda de produção do estabelecimento, que não deva por ele transitar"
7106;"Venda de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar"
7127;"Venda de produção do estabelecimento sob o regime de "drawback" "
7200;"DEVOLUÇÕES DE COMPRAS PARA INDUSTRIALIZAÇÃO, COMERCIALIZAÇÃO OU ANULAÇÕES DE VALORES"
7201;"Devolução de compra para industrialização ou produção rural"
7202;"Devolução de compra para comercialização"
7205;"Anulação de valor relativo à aquisição de serviço de comunicação"
7206;"Anulação de valor relativo a aquisição de serviço de transporte"
7207;"Anulação de valor relativo à compra de energia elétrica"
7210;"Devolução de compra para utilização na prestação de serviço"
7211;"Devolução de compras para industrialização sob o regime de drawback" "
7250;"VENDAS DE ENERGIA ELÉTRICA"
7251;"Venda de energia elétrica para o exterior "
7300;"PRESTAÇÕES DE SERVIÇOS DE COMUNICAÇÃO"
7301;"Prestação de serviço de comunicação para execução de serviço da mesma natureza "
7350;"PRESTAÇÕES DE SERVIÇO DE TRANSPORTE"
7358;"Prestação de serviço de transporte "
7500;"EXPORTAÇÃO DE MERCADORIAS RECEBIDAS COM FIM ESPECÍFICO DE EXPORTAÇÃO"
7501;"Exportação de mercadorias recebidas com fim específico de exportação"
7550;"OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO E MATERIAIS PARA USO OU CONSUMO"
7551;"Venda de bem do ativo imobilizado"
7553;"Devolução de compra de bem para o ativo imobilizado"
7556;"Devolução de compra de material de uso ou consumo"
7651;"Venda de combustível ou lubrificante de produção do estabelecimento"
7654;"Venda de combustível ou lubrificante adquirido ou recebido de terceiros"
7900;"OUTRAS SAÍDAS DE MERCADORIAS OU PRESTAÇÕES DE SERVIÇOS"
7930;"Lançamento efetuado atítulo de devolução de bem cuja entrada tenha ocorrido sob amparo de regime especial aduaneiro de admissão temporária"
7949;"Outra saída de mercadoria ou prestação de serviço não especificado"
